timestamp,module,band_true,band_user,correct,rt_ms
2025-10-06T17:06:41,cli,1600,800,0,6871
2025-10-06T17:06:44,cli,1600,2000,0,3773
2025-10-06T17:06:49,cli,1600,1600,1,4301
2025-10-06T17:06:52,cli,1600,315,0,3403
2025-10-06T17:06:56,cli,1600,4000,0,3605
2025-10-06T17:07:04,cli,1600,2500,0,8431
2025-10-06T17:07:20,cli,1600,1600,1,15508
2025-10-06T17:29:03,cli,1600,8000,0,6607
2025-10-06T17:29:06,cli,1600,3150,0,2948
2025-10-06T17:29:11,cli,1600,3150,0,4599
2025-10-06T17:29:15,cli,1600,8000,0,3636
2025-10-06T17:29:21,cli,1600,2500,0,5884
2025-10-06T17:29:27,cli,1600,6300,0,5945
2025-10-06T17:29:32,cli,1600,800,0,5318
2025-10-06T17:29:36,cli,1600,1600,1,4549
2025-10-06T19:02:58,tk_ui,1600,1600,1,5302
2025-10-06T19:03:15,tk_ui,2500,3150,0,7950
2025-10-06T19:03:23,tk_ui,2500,3150,0,0
2025-10-06T19:03:32,tk_ui,2500,6300,0,5815
2025-10-06T19:03:47,tk_ui,2500,6300,0,0
2025-10-06T19:03:55,tk_ui,2500,2500,1,4893
2025-10-06T19:04:02,tk_ui,2500,6300,0,3563
2025-10-06T19:37:31,tk_ui,1600,1250,0,452
2025-10-06T19:37:45,tk_ui,1600,6300,0,0
2025-10-06T19:38:06,tk_ui,1600,4000,0,452
2025-10-06T19:38:10,tk_ui,1600,1600,1,0
2025-10-06T19:38:13,tk_ui,1600,1600,1,448
2025-10-06T19:38:20,tk_ui,1600,8000,0,90
2025-10-06T19:38:43,tk_ui,1600,1600,1,4459
2025-10-06T19:38:50,tk_ui,1600,6300,0,0
2025-10-06T19:39:00,tk_ui,1600,1600,1,6322
2025-10-06T19:54:30,tk_ui,1600,1250,0,0
2025-10-06T19:54:39,tk_ui,1600,2500,0,3204
2025-10-06T20:02:42,tk_ui,1600,1250,0,0
2025-10-06T20:02:45,tk_ui,1600,1250,0,56
2025-10-06T20:40:29,tk_ui,1600,1600,1,7245
2025-10-06T20:40:51,tk_ui,4000,8000,0,8737
2025-10-06T20:41:05,tk_ui,4000,8000,0,617
2025-10-06T20:41:12,tk_ui,4000,4000,1,3112
2025-10-06T20:48:04,tk_ui,630,315,0,3305
2025-10-06T20:48:13,tk_ui,1000,1250,0,4552
2025-10-06T20:48:19,tk_ui,1600,1600,1,2847
2025-10-06T20:48:25,tk_ui,315,250,0,2750
2025-10-06T20:48:26,tk_ui,8000,250,0,0
2025-10-06T20:48:33,tk_ui,630,630,1,2802
2025-10-06T20:48:40,tk_ui,1000,2000,0,4098
2025-10-06T20:48:57,tk_ui,250,250,1,3039
2025-10-06T20:49:15,tk_ui,1000,1000,1,2145
2025-10-07T08:52:35,tk_ui,2000,4000,0,11281
2025-10-07T08:52:44,tk_ui,250,250,1,4823
2025-10-07T08:52:53,tk_ui,2000,2000,1,4773
2025-10-07T08:53:02,tk_ui,3150,3150,1,4004
2025-10-07T10:54:22,tk_ui,315,250,0,5124
2025-10-07T10:54:34,tk_ui,1250,2500,0,6620
2025-10-07T10:54:54,tk_ui,315,315,1,5875
2025-10-07T18:22:44,tk_ui,1250,2000,0,11653
2025-10-07T18:23:02,tk_ui,630,800,0,8720
2025-10-07T18:23:15,tk_ui,3150,3150,1,8569
2025-10-07T18:23:26,tk_ui,315,250,0,5172
2025-10-07T18:23:49,tk_ui,1250,1000,0,13282
2025-10-07T18:24:06,tk_ui,630,630,1,5226
2025-10-07T18:24:16,tk_ui,2000,3150,0,5632
2025-10-07T20:24:57,tk_ui,5000,8000,0,16748
2025-10-07T20:25:18,tk_ui,1600,800,0,9928
